"File","Type","Missing","ExpectedPath"
"C:\Projects\webact-clean\pages\about-portfolio-dww.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-e-sports-foundation.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-ebony-equines.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-ed-prevost.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-edmotnton-heritage-festival.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-einstein-plumbing.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-emergency-locksmith-denver.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-empathy-care.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-epic-ivy.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-epleyer.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-esports-epleyer.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-evans-legal-group.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-express-shipping-room-supply.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
